episode,category,split,policy,success,reason,lift_height,grasp_x,grasp_y,grasp_z,grasp_yaw,grasp_width,final_gripper_width,object_displacement,sampler_mode,settle_displacement
0,capsule,seen,heuristic,True,success,0.19092273118023995,0.5838463823545822,0.06686095515276616,0.41330934919416906,1.5496251841534,0.03571438780914771,0.03669430683533585,0.002177030333420447,,4.1063077203657224e-08
1,capsule,seen,heuristic,True,success,0.1930493829848351,0.5542347214350908,-0.09236155731992869,0.41612745679914953,-0.924475471358948,0.041377543611207296,0.042175893669348166,0.00700096088443954,,4.39120852915206e-08
2,mug,unseen,heuristic,True,success,0.19015262564126445,0.5029754821407392,0.01944667224655464,0.4441652947664261,-1.1599053701544628,0.052407279202194075,0.05014164985870494,0.00681081645706239,,7.209893008296824e-07
3,ellipsoid,unseen,heuristic,True,success,0.1911643692473035,0.5819876541970789,-0.02505505878268598,0.4155332282930613,-1.5029176973857883,0.04349753542443636,0.04617009066704261,0.0020988115282694823,,2.5956124132853255e-05
4,cylinder,seen,heuristic,True,success,0.19088622490986312,0.6272862482763147,-0.009833286392775581,0.44346952974796294,1.444767905170627,0.05342195003184876,0.05324653246747846,0.0009172763566435081,,5.7126432420741326e-08
5,box,seen,heuristic,True,success,0.19588808040934064,0.583098052189508,0.10215022285718983,0.41100000000000003,0.479252868654545,0.04538465716535087,0.04023881235180919,0.0020201295912375804,,0.0
6,cylinder,seen,heuristic,True,success,0.18170329340627517,0.4969003231477712,0.12624254247746985,0.4475112909078598,0.34145724825119217,0.046459683782517414,0.04750733648600451,0.0006024457309026137,,1.0977581529611968e-07
7,capsule,seen,heuristic,True,success,0.19190461889854776,0.51027199712408,0.07169236434828877,0.411711438074708,-1.0219249663175516,0.034909948331355585,0.03344769510152231,0.0022719699481052145,,4.09169326324689e-08
8,t_shape,unseen,heuristic,True,success,0.1974227408496278,0.575876176405268,-0.01675539944648636,0.41100000000000003,1.2013739415741989,0.024041584031048276,0.024801385373751247,0.001885599428966461,,5.014753306346494e-08
9,l_shape,unseen,heuristic,True,success,0.19339505898103043,0.4872248817042935,0.1376292300652738,0.41100000000000003,0.24329480197525077,0.008,0.029192353228694113,0.005819669726488471,,6.201607439513724e-08
10,l_shape,unseen,heuristic,False,closed_empty,-8.149864116901995e-11,0.5024895232359142,0.09254304473775901,0.41100000000000003,0.27954135846540984,0.04250157243654274,8.945606685160782e-09,0.03989671897828393,,2.1614503310953507e-10
11,cylinder,seen,heuristic,True,success,0.18237532985569188,0.45827345809936704,-0.06991019444462387,0.43726763665676116,-0.8842893499586806,0.049376821014079496,0.04916979648722833,0.0008725730386419705,,4.3140158610985704e-07
12,t_shape,unseen,heuristic,True,success,0.15299363479036832,0.5846207202636922,0.04125577536099488,0.4115409985929728,0.07414364293741649,0.03185066253107902,0.029081665250991352,0.027811799112943677,,4.4973328438009836e-08
13,sphere,seen,heuristic,False,no_lift,0.0034784160688424715,0.45498728706332053,0.05867349274240178,0.4218915388733149,0.9196858021580727,0.052273617945999835,0.0030100946184059723,0.0028270091395590055,,0.0
14,t_shape,unseen,heuristic,True,success,0.19479482395781356,0.5128921626585616,-0.051854322362594164,0.41100000000000003,0.4748989877925385,0.03313608758986394,0.030911119821197524,0.0012375416922047985,,6.792738902365917e-11
15,dumbbell,unseen,heuristic,True,success,0.1885776829823601,0.5239844697060346,0.004043232770773834,0.41100000000000003,-0.9235008812575645,0.021691796251961895,0.021659194709870336,0.0010858244544179592,,1.734723475976807e-18
16,cylinder,seen,heuristic,True,success,0.188266026949299,0.6314951843813494,-0.11078202514185995,0.4192923442274332,0.7233900076053672,0.044848221419091214,0.04485105225338083,0.0003834882801204306,,4.431980980553168e-08
17,dumbbell,unseen,heuristic,True,success,0.17957193990343567,0.46897560553899453,0.06074857260971985,0.41100000000000003,0.2906772231682564,0.022792872336802338,0.021382488568649306,0.009668392394680078,,0.0
18,ellipsoid,unseen,heuristic,True,success,0.18866087409878424,0.48765209261398085,0.01032805079253265,0.4223826066404581,0.6437881413687583,0.05413884069441745,0.05593972425361819,0.004722365744838081,,2.3416276521791983e-05
19,capsule,seen,heuristic,True,success,0.18753037311330834,0.5481837106241927,-0.11690637146560402,0.41154567755758764,0.9868425928936748,0.030822663801788476,0.03313783331254684,0.002809017205575746,,4.116012399981739e-08
20,cylinder,seen,heuristic,True,success,0.18841556386476543,0.5972758249324552,0.023642927733746072,0.46025980055332183,-1.2154396637878406,0.02621177702473658,0.026447286943680873,0.0006531696435020588,,1.1202604973434785e-07
21,sphere,seen,heuristic,True,success,0.1855108492349457,0.5920437257936706,0.1058330011804715,0.42310774184763433,-0.47459440401756314,0.052017377875283745,0.05603932969450694,0.0005582956564306601,,0.0
22,cylinder,seen,heuristic,True,success,0.1925787187556116,0.5235366860889238,0.03704125809658005,0.4327353888750076,0.411840413181745,0.06134801108057509,0.060921634770221486,0.0007144367672728129,,4.79995578937451e-08
23,l_shape,unseen,heuristic,True,success,0.23933528318688047,0.6228378668928279,0.019445064545630216,0.41100000000000003,0.09452551577117196,0.008,0.02770502314675003,0.020542232629342103,,5.070322008197165e-08
24,box,seen,heuristic,True,success,0.19764462188262222,0.5991303988120336,-0.1257003457962826,0.4112382069975138,-0.6046507379045902,0.041145776038063096,0.03760116730813478,0.002626987155296186,,0.0
25,cylinder,seen,heuristic,True,success,0.177276888388407,0.4944956705753994,0.022606037608521333,0.4633455330133438,1.0956619418440994,0.055658707688000804,0.05460649093707676,0.0008395565035221772,,1.5031758020242484e-08
26,cylinder,seen,heuristic,True,success,0.18373228753858323,0.5683180249878144,-0.020710509487469535,0.45208877861499785,0.9424886694669601,0.04416457596681718,0.042868667947351995,0.004207655516899902,,3.376556216361563e-08
27,mug,unseen,heuristic,True,success,0.1800400942191659,0.49819847769514003,0.040338422129953574,0.4262865276634693,1.4720857675577674,0.057311456027128706,0.05631142239685293,0.005234116870952197,,6.26794258125282e-07
28,capsule,seen,heuristic,True,success,0.18883845310591235,0.541691783016853,0.10606893765947273,0.4190734461694956,-0.5027959055169191,0.04688237396906236,0.048197599357264795,0.01233738428998256,,3.314753056970924e-08
29,dumbbell,unseen,heuristic,True,success,0.18755611003993045,0.5548197468594473,-0.04962484931272272,0.41100000000000003,0.9336779607059689,0.021666538998240874,0.020977544097445667,0.0008238493093852137,,0.0
30,l_shape,unseen,heuristic,True,success,0.2167228171654101,0.5215373561345698,0.10852072162675039,0.41100000000000003,-0.7193001384967785,0.008,0.028394872960090717,0.02909683260771316,,7.07179996637569e-10
31,mug,unseen,heuristic,True,success,0.19317075322292027,0.4963648824965577,0.03200757994902702,0.4232998476177454,0.5235636978001041,0.049034814513645886,0.04932150928940486,0.008439139169955581,,1.1669206699809206e-06
32,t_shape,unseen,heuristic,False,closed_empty,-2.531905301916826e-06,0.5500874735192576,0.12863992224163284,0.41100000000000003,-0.8514763081377867,0.03049459578128553,7.361701408770935e-08,0.00890133830604991,,5.5408014560980326e-08
33,sphere,seen,heuristic,True,success,0.18624370553445846,0.6045467615125388,0.13079169000640328,0.4217650876194239,-0.446804578052749,0.051313462426053086,0.05321152160079724,0.0005688344247077983,,0.0
34,cylinder,seen,heuristic,True,success,0.18148926430988171,0.4873458216832079,-0.07698259583691498,0.4509691947698593,-0.5774426415769973,0.06087316282789413,0.06107495572804404,0.0005077290585952783,,1.5746747331597215e-07
35,dumbbell,unseen,heuristic,False,no_lift,-0.0009812324702874187,0.5765318830968548,-0.12955013165662704,0.41100000000000003,0.24578846087730621,0.016670117257772336,0.001022249559555581,0.035252832712917744,,0.0
36,mug,unseen,heuristic,True,success,0.1854910006643396,0.6148560822869658,-0.10714311199711718,0.4250510127842426,0.3395376962856851,0.05258716315223805,0.05234470813620953,0.005182443706325094,,2.988233502300867e-06
37,sphere,seen,heuristic,True,success,0.09868190351145495,0.5121423640097534,0.09019441737419397,0.4234299496561289,0.16241764957744653,0.05390985057418185,0.019517875832125317,0.00035588418458521034,,0.0
38,dumbbell,unseen,heuristic,True,success,0.18743649289521847,0.5832681745054076,0.02720025693125877,0.41100000000000003,0.9900957903459289,0.015564233466201621,0.015574265793348594,0.0004923088789647645,,0.0
39,capsule,seen,heuristic,True,success,0.18527014339946563,0.5112612776524174,-0.08071090478980184,0.41533686079084875,0.0725063594139228,0.039481696892846155,0.04062969576844464,0.013098962919648642,,3.9154744573410256e-08
40,capsule,seen,heuristic,True,success,0.18442930327492646,0.5250588818363219,0.09582400724165745,0.41629044570028784,-0.43858981712331335,0.04336809969978791,0.042516284109405555,0.011737985379780087,,3.749851425873642e-08
41,dumbbell,unseen,heuristic,False,closed_empty,6.0811633048774016e-05,0.6088187078345728,0.051733816770807704,0.41118840731680395,-0.9913933320135593,0.02057684734874062,5.166159556723609e-08,0.0024694387227914972,,0.0
42,sphere,seen,heuristic,True,success,0.19273883830270705,0.5618069701438538,-0.026212938168201604,0.41339798130095007,-1.145521114395014,0.03672211481771607,0.03618966398673904,0.0011932446525844903,,0.0
43,capsule,seen,heuristic,True,success,0.1965269056552461,0.489378652991147,-0.15088233380124158,0.41100000000000003,1.36825557273764,0.024038038997449,0.024138562033628318,0.0030187820927896,,6.131687284825905e-08
44,mug,unseen,heuristic,True,success,0.18651764819961775,0.5138574165617431,0.08289877264264227,0.4499744230508804,-0.6182587169782199,0.04621489425444197,0.04454501852533889,0.005687861273891312,,5.008098740538649e-07
45,ellipsoid,unseen,heuristic,True,success,0.18211709315163827,0.5646309948736367,0.004179471233727378,0.4217536584287882,1.3557936285869046,0.051315824991973506,0.053690986936757536,0.004709251405113874,,1.7614107478308437e-06
46,t_shape,unseen,heuristic,True,success,0.1900364870536425,0.6230018227117537,0.05010336577412869,0.41100000000000003,0.4857884183102179,0.03202171149810746,0.029946046441649686,0.004880342435471543,,4.476070592990052e-08
47,dumbbell,unseen,heuristic,True,success,0.18656118417091894,0.5740847833786765,-0.02912943176763121,0.41100000000000003,-1.0122859723499094,0.020643449861484232,0.020641882524520615,0.0012762469318603868,,0.0
48,sphere,seen,heuristic,True,success,0.18759631285687223,0.6098898583945702,-0.10850568540779344,0.4226316497474909,0.5451596342678435,0.05310103758904262,0.05481245660858694,0.0005528021553955607,,0.0
49,l_shape,unseen,heuristic,False,closed_empty,3.197165310275807e-10,0.5694861267751133,-0.07030457794934097,0.4114381805807352,0.7603838160355201,0.04008612873490955,6.970591492333797e-07,0.010701420613698883,,5.3701201910759154e-08
50,t_shape,unseen,heuristic,True,success,0.19788605694223188,0.5404049974582253,0.020762219093355926,0.41100000000000003,0.6029822193183145,0.051405400269918855,0.07565668444643096,0.007814112697309169,,6.466562505862754e-08
51,dumbbell,unseen,heuristic,True,success,0.18511162640965256,0.5811519408384543,-0.10048113029565159,0.41100000000000003,0.2355428209902124,0.022747007850039254,0.021884159572650046,0.003614219223793798,,0.0
52,cylinder,seen,heuristic,True,success,0.1823747577847003,0.5434536807661803,0.12084052351760756,0.43215793907642364,-0.04104860105893593,0.03934812757081871,0.039979766608216845,0.0001474090950737982,,1.0211015274917097e-07
53,t_shape,unseen,heuristic,True,success,0.19490789840825196,0.48924587372730494,0.09967592736058956,0.41100000000000003,0.018530781484835224,0.02817680476487166,0.02635456817955812,0.0035857189185812006,,5.686482023026979e-08
54,mug,unseen,heuristic,False,closed_empty,0.027710461870195602,0.6251660193723247,0.14231378261588096,0.4574211889505386,-0.7118492632233897,0.05366029256985309,1.216303600220791e-06,0.09150465491674964,,4.191291663469708e-07
55,capsule,seen,heuristic,True,success,0.19498245960022348,0.6377222526065994,-0.11278268103663436,0.41100000000000003,1.17127812443161,0.026006158765872547,0.026512050505959773,0.00198402952609916,,6.47327469656067e-08
56,ellipsoid,unseen,heuristic,True,success,0.18823408086437604,0.5863940482976163,0.1006860825170129,0.41486339129507543,-0.22444139277185382,0.049697434879650185,0.04984169474278056,0.00030565535157302997,,1.900679977616532e-05
57,capsule,seen,heuristic,True,success,0.19136899675105823,0.5441768505257292,0.08043962779535707,0.41402126707136633,0.5499916070627666,0.03765049790146557,0.03803899995760052,0.00489353215930857,,3.9214006541558434e-08
58,box,seen,heuristic,True,success,0.1964762115349583,0.5547765270058732,-0.07301763849490818,0.4141380921751261,-0.28828082074085426,0.04577024765949197,0.04399923186625299,0.0009117089443420581,,4.697795161667008e-13
59,ellipsoid,unseen,heuristic,True,success,0.19339056270136723,0.6046222550860492,-0.10363106583379733,0.41366492070257666,-1.291505789787851,0.04279789888276922,0.042403765355873306,0.002293497344467446,,1.2009987137263283e-05
60,box,seen,heuristic,True,success,0.19760315084664526,0.5061144531279824,0.022405250435210383,0.4128714040666819,-1.3634294121587334,0.04701899311821938,0.04557291669347235,0.0008461747374405572,,0.0
61,dumbbell,unseen,heuristic,False,closed_empty,1.395188433117589e-07,0.5768103163632197,-0.06932861090241235,0.41100000000000003,-0.9730837924011038,0.015529187711626227,6.028269651481039e-08,0.001541154267976436,,0.0
62,dumbbell,unseen,heuristic,True,success,0.19340302754598543,0.5697202315811043,-0.012259230234290276,0.41100000000000003,0.47678974696710474,0.015671066062307882,0.013805440673018112,0.0005739727583497132,,0.0
63,mug,unseen,heuristic,True,success,0.17479385225409272,0.5703813995086384,0.09171241232108908,0.45328867971897124,-1.4933088405289663,0.05689804328343318,0.0503470268092481,0.006295086184542859,,1.1705679314783025e-06
64,capsule,seen,heuristic,False,dropped,0.04236056462254101,0.6141580188054492,0.08800407670950461,0.41782088436186315,-1.2182209888833864,0.044108969189150214,0.011222731858176262,0.07844784323964471,,3.4151546655037665e-08
65,sphere,seen,heuristic,True,success,0.1889863741336149,0.5898517413794301,-0.17322483249379494,0.41387246407568457,0.1981713484897667,0.036654211957788584,0.03714605367345823,0.00039719914138396057,,0.0
66,t_shape,unseen,heuristic,True,success,0.19537497446093238,0.5169678349164856,-0.018896437550932236,0.41100000000000003,0.8254866655021713,0.032117974745300676,0.030282152640661128,0.0008026830126470543,,9.046468268179614e-11
67,cylinder,seen,heuristic,True,success,0.19021848149831505,0.5536514884046146,-0.09217814297655443,0.4171759621053934,0.12789809102989746,0.05125705548497124,0.050258505394468814,0.0006812307768054563,,4.0844292415924425e-07
68,l_shape,unseen,heuristic,True,success,0.19269686533601021,0.5256068389880085,0.039953871499095205,0.41100000000000003,0.6090305357850232,0.025887793526123727,0.022234732853772872,0.019467683623811183,,5.891386621992662e-08
69,capsule,seen,heuristic,True,success,0.19504417209771335,0.5762535670606354,0.031072071787098702,0.41100000000000003,0.9757460796202322,0.030926733041657002,0.031080229140891476,0.0012533528901517246,,5.796566295873295e-08
70,capsule,seen,heuristic,True,success,0.19103476683783804,0.5794666367713981,0.14559659226800528,0.4186496571451426,1.361477824727606,0.04596237146653061,0.047617316821782774,0.0038036538992457045,,3.0533995349135734e-08
71,t_shape,unseen,heuristic,True,success,0.1663576128204693,0.5018459555693454,-0.05757539717796168,0.41293878711760046,1.0492504999902907,0.025547103985591218,0.02228169373300508,0.010472834298622205,,4.870156665825391e-08
72,capsule,seen,heuristic,True,success,0.1935618403398392,0.4520334666837964,0.11545630775233127,0.41100000000000003,-0.3479019441445743,0.028055882783816523,0.027182494383644763,0.0021194555716848567,,5.1703706091505006e-08
73,capsule,seen,heuristic,True,success,0.19121706164724983,0.5798395408335444,0.11444115260366867,0.4208589182049036,-1.0435490593651666,0.04852958088299006,0.05174297998096171,0.011779925136140356,,3.93744233634851e-08
74,ellipsoid,unseen,heuristic,True,success,0.19032380642231927,0.6261335623256516,-0.04412033989791646,0.4130915240198374,0.8235001185427975,0.04085107964473831,0.040624020707341446,0.0005299681650349123,,6.155841611582878e-06
75,ellipsoid,unseen,heuristic,True,success,0.19633345158317567,0.5383899903010484,-0.027291627823693168,0.41100000000000003,0.40119178523330534,0.0508204065805394,0.05013056848344789,0.0005586822354747534,,4.735031583981781e-06
76,t_shape,unseen,heuristic,True,success,0.19406157148356185,0.5520767945292934,0.07149528377300811,0.4120769039541483,0.037476458253710376,0.02768337987505751,0.02603340430727239,0.00190494053830281,,4.0915588506398325e-08
77,capsule,seen,heuristic,True,success,0.19484812151262026,0.5075549193539448,-0.09657579211333257,0.4175650314241648,-0.409969547187373,0.04515721440465572,0.0451535576381242,0.03643286778154326,,4.400330571914702e-08
